A  	Element	Z  	N  	Energy  	JPi           	Mass Exc  	Unc  	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
104	Pd     	46 	58 	0.0000  	0+            	-89.393   	3    	STABLE                   	infinity                 	11.14%    	8       	        	            
105	Pd     	46 	59 	0.0000  	5/2+          	-88.416   	3    	STABLE                   	infinity                 	22.33%    	8       	        	            
106	Pd     	46 	60 	0.0000  	0+            	-89.906   	3    	STABLE                   	infinity                 	27.33%    	3       	        	            
108	Pd     	46 	62 	0.0000  	0+            	-89.521   	3    	STABLE                   	infinity                 	26.46%    	9       	        	            
110	Pd     	46 	64 	0.0000  	0+            	-88.348   	7    	STABLE                   	infinity                 	11.72%    	9       	        	            
107	Ag     	47 	60 	0.0000  	1/2-          	-88.405   	3    	STABLE                   	infinity                 	51.839%   	8       	        	            
109	Ag     	47 	62 	0.0000  	1/2-          	-88.7195  	20   	STABLE                   	infinity                 	48.161%   	8       	        	            
106	Cd     	48 	58 	0.0000  	0+            	-87.1304  	17   	3.6E+20 Y GT             	1.136E28                 	1.25%     	6       	2EC     	            
108	Cd     	48 	60 	0.0000  	0+            	-89.2524  	21   	1.9E+18 Y GT             	5.996E25                 	0.89%     	3       	2EC     	            
110	Cd     	48 	62 	0.0000  	0+            	-90.3503  	17   	STABLE                   	infinity                 	12.49%    	18      	        	            
111	Cd     	48 	63 	0.0000  	1/2+          	-89.2547  	17   	STABLE                   	infinity                 	12.80%    	12      	        	            
112	Cd     	48 	64 	0.0000  	0+            	-90.5777  	17   	STABLE                   	infinity                 	24.13%    	21      	        	            
113	Cd     	48 	65 	0.0000  	1/2+          	-89.0464  	16   	8.00E15 Y 26             	2.525E23                 	12.22%    	12      	B-      	100.00      
114	Cd     	48 	66 	0.0000  	0+            	-90.0180  	16   	2.1E18 Y GT              	6.627E25                 	28.73%    	42      	2B-     	            
116	Cd     	48 	68 	0.0000  	0+            	-88.7164  	17   	3.3E+19 Y 4              	1.0414E27                	7.49%     	18      	2B-     	            
113	In     	49 	64 	0.0000  	9/2+          	-89.3683  	15   	STABLE                   	infinity                 	4.29%     	5       	        	            
115	In     	49 	66 	0.0000  	9/2+          	-89.536300	12   	4.41E+14 Y 25            	1.392E22                 	95.71%    	5       	B-      	100.00      
112	Sn     	50 	62 	0.0000  	0+            	-88.6579  	17   	1.3E+21 Y LT             	4.102E28                 	0.97%     	1       	2EC     	            
114	Sn     	50 	64 	0.0000  	0+            	-90.5594  	15   	STABLE                   	infinity                 	0.66%     	1       	        	            
115	Sn     	50 	65 	0.0000  	1/2+          	-90.033800	15   	STABLE                   	infinity                 	0.34%     	1       	        	            
116	Sn     	50 	66 	0.0000  	0+            	-91.52590 	10   	STABLE                   	infinity                 	14.54%    	9       	        	            
117	Sn     	50 	67 	0.0000  	1/2+          	-90.3977  	5    	STABLE                   	infinity                 	7.68%     	7       	        	            
118	Sn     	50 	68 	0.0000  	0+            	-91.6528  	5    	STABLE                   	infinity                 	24.22%    	9       	        	            
119	Sn     	50 	69 	0.0000  	1/2+          	-90.0650  	7    	STABLE                   	infinity                 	8.59%     	4       	        	            
120	Sn     	50 	70 	0.0000  	0+            	-91.0982  	22   	STABLE                   	infinity                 	32.58%    	9       	        	            
122	Sn     	50 	72 	0.0000  	0+            	-89.943   	3    	STABLE                   	infinity                 	4.63%     	3       	        	            
124	Sn     	50 	74 	0.0000  	0+            	-88.2370  	14   	1.2E+21 Y GT             	3.787E28                 	5.79%     	5       	2B-     	            
121	Sb     	51 	70 	0.0000  	5/2+          	-89.600   	3    	STABLE                   	infinity                 	57.21%    	5       	        	            
123	Sb     	51 	72 	0.0000  	7/2+          	-89.2261  	22   	STABLE                   	infinity                 	42.79%    	5       	        	            
120	Te     	52 	68 	0.0000  	0+            	-89.370   	3    	STABLE                   	infinity                 	0.09%     	1       	        	            
122	Te     	52 	70 	0.0000  	0+            	-90.3158  	16   	STABLE                   	infinity                 	2.55%     	12      	        	            
123	Te     	52 	71 	0.0000  	1/2+          	-89.1735  	16   	9.2E+16 Y GT             	2.903E24                 	0.89%     	3       	EC      	100.00      
124	Te     	52 	72 	0.0000  	0+            	-90.5266  	16   	STABLE                   	infinity                 	4.74%     	14      	        	            
125	Te     	52 	73 	0.0000  	1/2+          	-89.0243  	16   	STABLE                   	infinity                 	7.07%     	15      	        	            
126	Te     	52 	74 	0.0000  	0+            	-90.0666  	16   	STABLE                   	infinity                 	18.84%    	25      	        	            
128	Te     	52 	76 	0.0000  	0+            	-88.9937  	9    	2.41E+24 Y 39            	7.605E31                 	31.74%    	8       	2B-     	100.00      
130	Te     	52 	78 	0.0000  	0+            	-87.352900	11   	3.0E+24 Y GE             	9.467E31                 	34.08%    	62      	2B-     	100.00      
127	I      	53 	74 	0.0000  	5/2+          	-88.985   	4    	STABLE                   	infinity                 	100%      	        	        	            
124	Xe     	54 	70 	0.0000  	0+            	-87.6612  	18   	1.6E+14 Y GE             	5.0492E21                	0.0952%   	3       	2EC     	            
126	Xe     	54 	72 	0.0000  	0+            	-89.146   	4    	STABLE                   	infinity                 	0.0890%   	2       	        	            
